xax_arcsec,flux,flux_err,obs_date,flux_bkgsub,gix_mask,peak_loc,xax_centered,app_motion,app_error,xax_days
-2.5,0.7767594778672597,0.010855242886245195,2025-08-24T00:20:57.247,-0.012098738104002638,False,-0.1052104208416833,-2.3947895791583167,0.04120897240312029,0.017104704079276986,-58.11330493106366
-2.4367088607594938,0.7789451074542013,0.010571172834791276,2025-08-24T00:20:57.247,-0.010159667072711098,False,-0.1052104208416833,-2.3314984399178105,0.04120897240312029,0.017104704079276986,-56.57744670530227
-2.3734177215189876,0.786113819317033,0.010472145841077462,2025-08-24T00:20:57.247,-0.0034901702728773465,False,-0.1052104208416833,-2.2682073006773043,0.04120897240312029,0.017104704079276986,-55.04158847954089
-2.3101265822784813,0.7982652890491989,0.010511898391266495,2025-08-24T00:20:57.247,0.00789797520311697,False,-0.1052104208416833,-2.204916161436798,0.04120897240312029,0.017104704079276986,-53.505730253779504
-2.246835443037975,0.8107166413918295,0.01059486279012676,2025-08-24T00:20:57.247,0.0193070425998364,False,-0.1052104208416833,-2.141625022196292,0.04120897240312029,0.017104704079276986,-51.969872028018116
-2.183544303797468,0.8467765791285868,0.01087709804128303,2025-08-24T00:20:57.247,0.05402815515283488,False,-0.1052104208416833,-2.0783338829557847,0.04120897240312029,0.017104704079276986,-50.434013802256715
-2.120253164556962,0.9024664068807555,0.011152008479100277,2025-08-24T00:20:57.247,0.10806517084748257,False,-0.1052104208416833,-2.0150427437152785,0.04120897240312029,0.017104704079276986,-48.89815557649533
-2.0569620253164556,0.9839533397361436,0.011696817072683763,2025-08-24T00:20:57.247,0.18757133501479384,False,-0.1052104208416833,-1.9517516044747723,0.04120897240312029,0.017104704079276986,-47.36229735073394
-1.9936708860759493,1.1666614103990618,0.01292102264069766,2025-08-24T00:20:57.247,0.36796277474940664,False,-0.1052104208416833,-1.888460465234266,0.04120897240312029,0.017104704079276986,-45.82643912497256
-1.9303797468354431,1.3934677502514936,0.014088620272384684,2025-08-24T00:20:57.247,0.5921176492694233,False,-0.1052104208416833,-1.8251693259937598,0.04120897240312029,0.017104704079276986,-44.29058089921117
-1.8670886075949369,1.580610494771923,0.014907784911068613,2025-08-24T00:20:57.247,0.776286716747596,False,-0.1052104208416833,-1.7618781867532536,0.04120897240312029,0.017104704079276986,-42.754722673449784
-1.8037974683544304,1.6478837947591098,0.015043768288542425,2025-08-24T00:20:57.247,0.8402905050217774,False,-0.1052104208416833,-1.6985870475127471,0.04120897240312029,0.017104704079276986,-41.2188644476884
-1.7405063291139242,1.6066126543662138,0.01475613442587693,2025-08-24T00:20:57.247,0.7954954588789971,False,-0.1052104208416833,-1.635295908272241,0.04120897240312029,0.017104704079276986,-39.68300622192701
