xax_arcsec,flux_bkgsub,flux_err,gix_mask,peak_loc,xax_centered,app_motion,app_error,xax_days
-2.5,0.001263683192642584,0.00808223838243563,False,0.07515030060120242,-2.5751503006012024,0.024851765906866448,0.010064962428802827,-103.62041515487229
-2.4899799599198396,0.0010487263094308696,0.007475103672386571,False,0.07515030060120242,-2.565130260521042,0.024851765906866448,0.010064962428802827,-103.21722287800507
-2.4799599198396796,0.0008306209463505021,0.006967471507743992,False,0.07515030060120242,-2.555110220440882,0.024851765906866448,0.010064962428802827,-102.81403060113787
-2.469939879759519,0.0006089570188233528,0.006551803896461094,False,0.07515030060120242,-2.5450901803607215,0.024851765906866448,0.010064962428802827,-102.41083832427067
-2.4599198396793587,0.0003833241588702685,0.006219687095454393,False,0.07515030060120242,-2.535070140280561,0.024851765906866448,0.010064962428802827,-102.00764604740345
-2.4498997995991982,0.0001533116829237624,0.00596248489614846,False,0.07515030060120242,-2.5250501002004007,0.024851765906866448,0.010064962428802827,-101.60445377053624
-2.4398797595190382,-8.149144037022937e-05,0.0057719836009900004,False,0.07515030060120242,-2.5150300601202407,0.024851765906866448,0.010064962428802827,-101.20126149366905
-2.429859719438878,-0.00032119869744651197,0.005640281892785286,False,0.07515030060120242,-2.50501002004008,0.024851765906866448,0.010064962428802827,-100.79806921680184
-2.4198396793587174,-0.0005626644103573497,0.005554549385199761,False,0.07515030060120242,-2.49498997995992,0.024851765906866448,0.010064962428802827,-100.39487693993462
-2.409819639278557,-0.0008007330183250616,0.005500346278430606,False,0.07515030060120242,-2.4849699398797593,0.024851765906866448,0.010064962428802827,-99.9916846630674
-2.399799599198397,-0.0010302191276592154,0.005466464186237103,False,0.07515030060120242,-2.4749498997995993,0.024851765906866448,0.010064962428802827,-99.58849238620022
-2.3897795591182365,-0.0012459366630368507,0.005445476256404921,False,0.07515030060120242,-2.464929859719439,0.024851765906866448,0.010064962428802827,-99.185300109333
-2.379759519038076,-0.0014426984560458322,0.005433665575410906,False,0.07515030060120242,-2.4549098196392785,0.024851765906866448,0.010064962428802827,-98.7821078324658
-2.369739478957916,-0.0016153273233281418,0.005430453110046729,False,0.07515030060120242,-2.4448897795591185,0.024851765906866448,0.010064962428802827,-98.3789155555986
-2.3597194388777556,-0.001759191663235793,0.005433747268845549,False,0.07515030060120242,-2.434869739478958,0.024851765906866448,0.010064962428802827,-97.97572327873138
-2.349699398797595,-0.0018704333548620333,0.00543793677697515,False,0.07515030060120242,-2.4248496993987976,0.024851765906866448,0.010064962428802827,-97.57253100186418
-2.3396793587174347,-0.0019452505762274086,0.005439355544588292,False,0.07515030060120242,-2.414829659318637,0.024851765906866448,0.010064962428802827,-97.16933872499696
-2.3296593186372747,-0.0019798386149463276,0.005436831189056082,False,0.07515030060120242,-2.404809619238477,0.024851765906866448,0.010064962428802827,-96.76614644812976
-2.3196392785571143,-0.001970389566475994,0.005431577593721222,False,0.07515030060120242,-2.3947895791583167,0.024851765906866448,0.010064962428802827,-96.36295417126256
-2.309619238476954,-0.0019130922215300217,0.005426877687515583,False,0.07515030060120242,-2.3847695390781563,0.024851765906866448,0.010064962428802827,-95.95976189439534
-2.299599198396794,-0.0018058222124093248,0.0054255840394022425,False,0.07515030060120242,-2.3747494989979963,0.024851765906866448,0.010064962428802827,-95.55656961752814
-2.2895791583166334,-0.0016522631681397115,0.005424930878183727,False,0.07515030060120242,-2.364729458917836,0.024851765906866448,0.010064962428802827,-95.15337734066094
-2.279559118236473,-0.0014573429868907084,0.005422149718128135,False,0.07515030060120242,-2.3547094188376754,0.024851765906866448,0.010064962428802827,-94.75018506379372
-2.2695390781563125,-0.0012259862854326897,0.005416284580923106,False,0.07515030060120242,-2.344689378757515,0.024851765906866448,0.010064962428802827,-94.3469927869265
-2.2595190380761525,-0.0009631147898065961,0.0054083181017093385,False,0.07515030060120242,-2.334669338677355,0.024851765906866448,0.010064962428802827,-93.94380051005932
-2.249498997995992,-0.0006736477258479923,0.005401064328110711,False,0.07515030060120242,-2.3246492985971945,0.024851765906866448,0.010064962428802827,-93.5406082331921
-2.2394789579158316,-0.0003625151527728576,0.005398159052534188,False,0.07515030060120242,-2.314629258517034,0.024851765906866448,0.010064962428802827,-93.13741595632489
-2.229458917835671,-3.476421571146915e-05,0.0053982493414049424,False,0.07515030060120242,-2.3046092184368736,0.024851765906866448,0.010064962428802827,-92.73422367945768
-2.219438877755511,0.0003044953780264592,0.0053979519501759525,False,0.07515030060120242,-2.2945891783567136,0.024851765906866448,0.010064962428802827,-92.33103140259048
-2.2094188376753507,0.0006501542191674758,0.005395520889231178,False,0.07515030060120242,-2.284569138276553,0.024851765906866448,0.010064962428802827,-91.92783912572327
